turn,Advanced Stateless Bot,Lulu,ZacRockBot,JetskiBot,OmniTitanBot,ElixirSmartBot,HomerSimpson,bee_35,DeepDream,XDDDDDDD8,oldDeepDream,pOtAtO,Simubot_fast,DeepDream_multi_cargo,3.0 flash python,OmniBot,Simubot,beatz,GoldDigger,_L_,python-medium bot,Starter bot 7,Starter bot 8,BOB,Hero,QH bot,Move 1,Prolog smarter bot,vitamindaddyreturns2,Elixir starter bot,Apollo,Rust starter bot,3.0 flash elixir,GreedyTrader_9083,Leighton v2.2.6,bee_494
31,buy 37,sell 37,buy 37,buy 37,buy 37,move -1,move 0,buy 37,DQ,move 4,move 4,move 7,buy 37,buy 37,sell 37,move 1,move 0,move -7,move -1,move 0,move 1,move 1,move 1,move 1,move 1,move 0,buy 0,buy 1,move 4,move 1,sell 37,move 3,move -1,sell 37,move -5,buy 37
32,move -5,move 1,move -5,move -5,move -5,sell 37,move 0,move -5,DQ,buy 37,buy 37,move -6,move -3,move -1,move 5,move 1,move 0,move -7,move 1,move 0,move -1,move 1,buy 0,move 1,buy 37,move 0,buy 0,move -6,buy 37,move 1,move 5,sell 37,move 1,move 1,sell 37,move -5
33,sell 37,buy 55,sell 37,sell 37,sell 37,move 1,move 0,sell 37,DQ,move -4,move -4,buy 37,buy 37,sell 37,buy 37,move 1,move 0,move -1,move -1,move 0,move 1,move 1,buy 0,move 1,move -1,move 0,buy 0,sell 1,move -4,move 1,buy 37,move -6,move -1,buy 37,move -3,sell 37
34,move -2,move 3,move 5,move -1,move -2,buy 37,move 0,move -7,DQ,sell 37,sell 37,move -1,move -4,move 1,move -5,move 1,move 0,sell 28,move 1,move 0,move -1,sell 1,buy 0,move 1,sell 37,move 0,buy 0,move 6,sell 37,sell 1,move -5,buy 21,move 1,move -1,buy 37,move 6
35,buy 37,buy 37,buy 37,buy 51,buy 37,move -1,move 0,move -1,DQ,move 1,move 3,sell 37,sell 37,buy 37,sell 37,sell 1,move 0,move 4,move -1,move 0,move 1,move 1,buy 0,move 1,move 1,move 0,buy 0,buy 2,move 4,move 1,sell 37,move -4,move -1,sell 37,move -1,buy 59
36,move -5,move -4,move 1,move -7,move -5,sell 37,move 0,buy 61,DQ,buy 55,buy 37,move 4,move 4,move 2,move 5,move 1,move 0,buy 37,move 1,move 0,move -1,move 1,buy 0,move 1,buy 37,move 0,buy 0,move -6,buy 37,move 1,move 5,buy 37,move 1,move 1,sell 37,move -1
37,sell 37,sell 37,buy 59,move -7,sell 37,move 1,move 0,move -7,DQ,move 2,move -2,move 0,buy 37,buy 28,buy 37,buy 16,move 0,move -5,move -1,move 0,move 1,move 1,buy 0,move 1,move -1,move 0,buy 0,sell 2,move -4,move 1,buy 37,move 7,move -1,buy 37,move 3,buy 37
38,move -1,move 4,move -6,buy 37,move -1,buy 37,move 0,move -6,DQ,buy 37,buy 59,move 0,move -4,move -3,move -5,move 1,move 0,sell 37,move 1,move 0,move -1,move 1,buy 0,move 1,sell 37,move 0,buy 0,move 4,sell 37,move 1,move -5,move 3,move 1,move -1,buy 62,move -5
39,buy 61,buy 37,sell 37,move 7,buy 61,move -1,move 0,buy 37,DQ,move 7,move -7,move 0,sell 37,sell 37,sell 37,move 1,move 0,move 2,move -1,move 0,move 1,buy 1,buy 0,move 1,move 1,move 0,buy 0,buy 1,move 0,buy 1,sell 37,sell 37,move -1,sell 37,move 6,sell 37
40,move 6,move -4,move 5,move 3,move -7,sell 37,move 0,move -4,DQ,move 3,move -6,move 0,move 4,move 1,move 5,move 1,move 0,buy 37,move 1,move 0,move -1,move 1,buy 0,move 1,buy 37,move 0,buy 0,move -2,move 0,move 1,move -1,move -6,move 1,move 1,buy 37,move 5
